0
4
0 1 2
1 0 3
1 0 4
3 0 4
4
0 2 3
1 0 2
1 0 4
2 0 4
6
0 1 2
0 1 3
1 0 4
1 0 5
2 1 3
4 0 5
143
0 1 8
0 1 4
0 2 3
0 2 6
1 0 2
1 4 9
2 3 11
2 3 5
2 6 12
3 2 6
3 5 10
3 5 7
4 1 8
5 3 11
7 5 10
13 14 17
13 14 21
13 14 41
13 15 18
13 15 19
13 16 35
13 16 39
13 16 24
13 16 60
13 16 30
13 20 44
13 20 46
13 23 51
14 21 31
14 13 15
14 13 16
14 13 20
14 13 23
14 41 64
15 18 25
15 18 22
15 19 53
15 19 37
15 13 16
15 13 20
15 13 23
16 35 58
16 35 67
16 13 20
16 13 23
16 24 26
16 30 32
17 14 21
17 14 41
18 25 33
18 25 27
18 25 55
18 22 47
18 15 19
19 53 59
19 37 42
20 13 23
21 14 41
21 31 57
21 31 34
21 31 54
22 18 25
24 16 35
24 16 39
24 16 60
24 16 30
25 33 50
25 27 45
25 27 28
25 27 29
27 25 33
27 25 55
27 45 48
27 45 63
27 28 52
27 28 62
27 29 40
27 29 49
27 29 36
28 27 45
28 27 29
28 52 61
29 27 45
30 16 35
30 16 39
30 16 60
30 32 43
31 34 38
31 54 66
33 25 55
33 50 56
34 31 57
34 31 54
35 16 39
35 16 60
36 29 40
36 29 49
37 19 53
39 16 60
40 29 49
44 20 46
48 45 63
50 56 65
52 28 62
54 31 57
58 35 67
68 73 81
68 73 77
68 69 80
68 69 88
68 70 71
68 70 72
68 70 78
68 70 79
68 70 86
69 68 73
69 68 84
69 68 70
70 68 73
70 68 84
70 71 82
70 71 76
70 72 74
70 79 83
71 76 89
71 76 85
71 70 72
71 70 78
71 70 79
71 70 86
72 74 75
72 70 78
72 70 79
72 70 86
73 68 84
74 75 87
76 71 82
77 73 81
78 70 79
78 70 86
79 70 86
80 69 88
85 76 89
49
0 1 2
0 1 5
0 1 7
1 2 10
1 2 3
1 2 6
1 5 8
1 7 11
1 7 12
2 1 5
2 1 7
2 10 19
2 10 18
2 10 14
2 3 17
2 3 4
3 2 10
3 2 6
4 3 17
5 8 9
5 8 16
5 8 21
5 8 22
5 1 7
6 2 10
7 11 15
7 12 13
8 9 20
9 8 16
9 8 21
9 8 22
11 7 12
14 10 19
14 10 18
16 8 21
16 8 22
18 10 19
21 8 22
23 24 25
23 26 27
23 26 31
24 23 26
24 23 28
24 23 29
26 27 30
26 23 28
26 23 29
27 26 31
28 23 29
53
1 0 2
1 0 3
2 0 3
4 11 12
4 11 14
4 5 13
4 5 7
4 6 8
4 6 15
4 6 20
4 6 26
5 4 24
5 4 11
5 4 6
5 13 19
5 7 9
5 7 17
5 7 27
5 7 28
6 4 24
6 4 11
6 8 10
6 8 22
6 26 30
7 5 13
7 17 29
8 6 15
8 6 20
8 6 26
9 7 17
9 7 27
9 7 28
10 8 22
11 4 24
11 14 16
11 14 21
12 11 14
13 19 23
14 16 25
14 16 18
15 6 20
15 6 26
16 14 21
17 7 27
17 7 28
18 16 25
20 6 26
27 7 28
31 32 33
32 33 34
32 33 35
32 31 36
34 33 35
1
1 0 2
1
0 1 2
1
2 1 3
